ID,Patent_industry,University,Patent_count,Turnover_lay,Turnover_2012,Total_assets_2012,Employees_2012,R&D_2012,Country_code,
Neogenis Labs Inc.,3,0,1,,,,,,,
Alliance for Sustainable Energy LLC,3,0,24,3000,,,,,1,
Global Blood Therapeutics Inc.,3,0,2,0,,,,,1,
Sanofi Pasteur Vaxdesign Corp.,3,0,1,3258497,2766665,3864808,,,6,
Palumed S.A.,3,0,1,,,,,,,
Sapphire Energy Inc.,3,0,3,,,,,,,
University of South Florida,3,1,140,,,,,,1,
Institut Curie,3,0,10,,,,,,,
Vical Incorporated,3,0,5,13819,17519,96522,118,17340,1,
University of Bath,3,1,30,,,,,,2,
Colorado State University Research Foundation,3,1,10,,,,,,,
AB Science,3,0,2,2086,1768,39558,88,11512,6,
Department of Veterans Affairs,3,0,2,,,,,,1,
BASF BEAUTY Care Solutions France S.A.S.,3,0,6,79007457,96303003,82760681,110782,2285201,7,
Genethon,3,0,4,,,,,,,
Fox Chase Cancer Center,3,0,4,175000,,,,,1,
Massachusetts Eye and Ear Infirmary,3,0,6,,,,,,,
VECT-HORUS,3,0,1,,,,,,,
Merck Sharp & Dohme Ltd.,3,0,8,1012758,1390262,1152592,1428,,2,
Institut National de la Sante et de la Recherche Medicale (Inserm),3,0,32,,,,,,6,
Children's Hospital Medical Center of Cincinnati Ohio,3,0,1,,,,,,,
Trigemina Inc.,3,0,2,,,,,,,
Sangamo Biosciences Inc.,3,0,2,36567,21655,82533,84,31709,1,
Baxter International Inc.,3,0,282,10561000,13936000,20390000,51000,940000,1,
ChromaDex Inc.,3,0,5,21201,11610,9035,73,,1,
MERIAL INC.,3,0,24,1050944,1183828,1210282,,,6,
Singulex Inc.,3,0,2,,,,,,,
The Progeria Research Foundation Inc.,3,0,1,,,,,,,
The Broad Institute Inc.,3,0,5,350000,,,,,1,
CytoPherx Inc.,3,0,1,,,,,,,
SANOFI,3,0,624,43703676,48183167,132479630,111974,6471657,6,
The University of Maryland,3,1,36,,,,,,1,
INSERM ( Institut National de la Sante et de la Recherche Medicale),3,0,2,,,,,,6,
BioFire Diagnostics Inc.,3,0,4,,,,,,,
Novartis AG,3,0,2028,,,,,,11,
The University of Kansas ,3,1,120,,,,,,1,
American Registry of Pathology,3,0,1,,,,,,1,
Rinat Neuroscience Corp.,3,0,12,1013915,2495299,913914,,,6,
INDI MOLECULAR INC.,3,0,2,,,,,,,
The United States of America as Represented by the Secretary of Defense on behalf of the Armed Forces Institute of Pathology,3,0,1,,,,,,1,
Pharmacopeia Drug Discovery Inc.,3,0,16,141102,31388,104260,21,10790,1,
Cook Biotech Incorporated,3,0,12,750000,,,,,1,
Apollo Endosurgery Inc.,3,0,4,64310,6688,27184,20,8159,1,
Cytokinetics Inc.,3,0,40,13368,7559,77551,70,35643,1,
Medarex L.L.C.,3,0,12,52292,,,,,1,
Medical Research Council,3,0,22,,,,,,,
Brigham Young University,3,1,18,,,,,,1,
The Board of Trustees of the University of Arkansas,3,1,98,,,,,,1,
Arizona Board of Regents a Body Corporate of the State of Arizona Acting for and on Behalf of Arizona State University,3,1,30,,,,,,1,
The Roskamp Institute,3,0,1,,,,,,,
The Brigham & Women's Hospital Inc.,3,0,1,,,,,,1,
Universite Paris Sud XI,3,1,2,,,,,,6,
The Rockefeller University,3,1,45,350000,,,,,1,
Integra Lifesciences Corporation,3,0,1,1188236,830871,1163599,3500,51012,1,
U.S. DEPARTMENT OF VETERANS AFFAIRS,3,0,2,750000,,,,,1,
Pioneer Hi-Bred International Inc.,3,0,1344,62484000,,,,,1,
The United States of America DBA The Department of Veteran Affairs,3,0,1,,,,,,1,
Mochida Pharmaceutical Co. Ltd.,3,0,10,1005377,947531,1283356,1753,132969,4,
Universite d'Evry-Val-d'Essonne,3,1,1,,,,,,6,
Trustees of Dartmouth College,3,1,60,350000,,,,,1,
The Penn State Research Foundation,3,1,264,,,,,,1,
Dana-Farber-Cancer Institute Inc.,3,0,1,750000,,,,,1,
E. I. du Pont de Nemours and Company,3,0,1533,24334000,34812000,49859000,70000,2123000,1,
Applied Biosystems LLC,3,0,120,2224676,,,,,1,
Aduro GVAX Inc.,3,0,1,17239,290,4300,,7438,1,
Pharmacopeia Inc.,3,0,14,141102,31388,104260,21,10790,1,
The General Hospital Corporation,3,0,470,,,,,,,
Mayo Foundation for Medical Education and Research,3,0,203,7500000,,,,,1,
Xoma Technology Ltd.,3,0,18,52690,33782,105676,166,68467,1,
University of Tennessee Research Foundation,3,1,114,,,,,,1,
MedImmune LLC,3,0,28,1276800,,,,,1,
University of Alabama at Birmingham Research Foundation,3,1,1,350000,,,,,1,
University of Houston System,3,1,7,350000,,,,,1,
Emisphere Technologies Inc.,3,0,10,1195,0,2176,12,1867,1,
UT-Battelle LLC,3,0,600,175000,,,,,1,
Beckman Coulter Inc.,3,0,12,3663400,,,,,1,
Baylor College of Medicine,3,0,12,350000,,,,,1,
Thoratec Corporation,3,0,78,477560,491654,698364,855,87729,1,
The Trustees of Columbia University in the City of New York,3,1,196,,,,,,1,
Mount Sinai School of Medicine ,3,0,4,62500,,,,,1,
Entegrion Inc,3,0,4,,,,,,,
Elicityl,3,0,1,,,,,,,
ENSCP—Chimie ParisTech—Ecole Nationale Superieure de Chimie de Paris,3,1,1,,,,,,6,
ProdiGene Inc.,3,0,2,,,,,,1,
Universite Paris Descartes,3,1,4,,,,,,6,
ASSISTANCE PUBLIQUE HOPITAUX DE PARIS,3,0,8,,,,,,6,
HealthPartners Research & Education,3,0,6,,,,,,,
RUTGERS THE STATE UNIVERSITY OF NEW JERSEY,3,1,243,,,,,,1,
Dana-Farber Cancer Institute Inc.,3,0,35,750000,,,,,1,
THE UNITED STATES OF AMERICA AS REPRESENTED BY THE DEPARTMENT OF VETERANS AFFAIRS OFFICE OF THE GENERAL COUNSEL,3,0,1,,,,,,1,
Institut National de la Santé et de la Recherche Médicale,3,0,3,,,,,,6,
Case Western Reserve University,3,1,64,750000,,,,,1,
Nektar Therapeutics,3,0,112,307711,81191,497790,433,148675,1,
C.N.R.S. Centre National de la Recherche Scientifique,3,0,3,,,,,,6,
The United States of America as represented by the Secretary Department of Health & Human Services,3,0,371,79662,,,,,2,
L'ASSISTANCE PUBLIQUE—HOPITAUX DE PARIS,3,0,3,,,,,,6,
Whitehead Institute,3,0,1,750000,,,,,1,
NorthShore University HealthSystem,3,1,3,2080989,1726233,2941100,,,1,
Ludwig Institute for Cancer Research Ltd.,3,0,84,,,,,,,
Beth Israel Deaconess Medical Center Inc.,3,0,24,,,,,,1,
Northeastern University,3,1,702,350000,,,,,1,
PIERRE FABRE MEDICAMENT,3,0,136,1102083,1194752,630698,,,6,
Merial Limited,3,0,28,2410336,,,,,2,
Emory University,3,1,72,3000000,,,,,1,
Insilicos LLC,3,0,1,,,,,,,
Universite Montpellier 2 Sciences et Techniques,3,1,10,,,,,,6,
The Schepens Eye Research Institute,3,0,1,,,,,,,
Auburn University,3,1,64,750000,,,,,1,
Institut Gustave Roussy,3,0,9,367956,367956,383971,,,6,
Reaction Biology Corp.,3,0,2,,,,,,,
Universite Paris SUD,3,1,21,,,,,,6,
Rensselaer Polytechnic Institute,3,0,24,350000,,,,,1,
Universite Paris Diderot-Paris 7,3,1,2,,,,,,6,
OTONOMY INC.,3,0,1,1236,0,5904,,8523,1,
THERAVECTYS,3,0,2,,,,,,,
University of Utah Research Foundation,3,1,54,,,,,,1,
Cambridge Polymer Group Inc.,3,0,3,,,,,,1,
QURIENT CO. LTD.,3,0,2,,,923,,1543,8,
Laboratoire HRA-Pharma,3,0,3,,,,,,,
ZOLL Circulation Inc.,3,0,20,523709,,,,,1,
MICROTRANSPONDER INC.,3,0,4,,,,,,,
The United States of America as represented by the Department of Energy,3,0,10,119494,,,,,2,
The University of Chicago,3,1,21,3000000,,,,,1,
Regents of the University of Minnesota,3,1,138,350000,,,,,1,
Duke University,3,1,105,5391913,4574085,14171152,,,1,
Inserm,3,0,6,,,,,,6,
Chevron U.S.A. Inc.,3,0,630,750000,,,,,1,
Medarex Inc.,3,0,50,52292,,,,,1,
Institut Pasteur,3,0,60,,,,,,6,
J. Craig Venter Institute Inc.,3,0,1,,,,,,,
Mitsubishi Tanabe Pharma Corporation,3,0,14,4085648,4452247,9206309,8835,706638,4,
AMGEN INC.,3,0,410,22849000,17265000,54298000,18000,3380000,1,
The Charles Stark Draper Laboratory Inc.,3,0,18,62500,,,,,1,
Cook Medical Technologies LLC,3,0,300,750000,,,,,1,
Inserm (Institut National de la Sante et de la Recherche Medicale),3,0,9,,,,,,6,
Cogiscan Inc.,3,0,8,,,,,,,
Hyclone Labortories Inc.,3,0,1,175000,,,,,1,
Intellect Neurosciences Inc.,3,0,2,,,,,,,
