University of Seoul Industry Cooperation Foundation,Samsung Electronics Co. Ltd.
Rutgers University,Research Foundation of State University of New York
Rutgers University,Massachusetts Institute of Technology
Research Foundation of State University of New York,AT&T INTELLECTUAL PROPERTY I L.P.
Research Foundation of State University of New York,Massachusetts Institute of Technology
Massachusetts Institute of Technology,UNIVERSIDADE DO PORTO
Massachusetts Institute of Technology,The President and Fellows of Harvard College
AT&T INTELLECTUAL PROPERTY I L.P.,AT&T MOBILITY II LLC
AT&T INTELLECTUAL PROPERTY I L.P.,The Regents of The University of Michigan
AT&T INTELLECTUAL PROPERTY I L.P.,Oregon Health & Science University
Kia Motors Corp.,HYUNDAI MOBIS CO. LTD.
Kia Motors Corp.,Hyundai Motor Company
HYUNDAI MOBIS CO. LTD.,Hyundai Motor Company
Hyundai Motor Company,RESEARCH BUSINESS FOUNDATION SUNGKYUNKWAN UNIVERSITY
Hyundai Motor Company,Kia Motors Corporation
Hyundai Motor Company,Ajou University Industry-Academic Cooperation Foundation
Hyundai Motor Company,Hyundai America Technical Center Inc.
Kia Motors Corporation,Hyundai America Technical Center Inc.
Nextwill Co. Ltd.,Seoul Republic of Korea
UNIVERSITY OF NOTRE DAME,General Electric Company
UNIVERSITY OF NOTRE DAME,The Regents of The University of Michigan
General Electric Company,University of Washington
General Electric Company,London Health Sciences Center
General Electric Company,University of Michigan
General Electric Company,The Regents of The University of Michigan
General Electric Company,IHC Health Services
The Regents of The University of Michigan,Ford Global Technologies LLC
The Regents of The University of Michigan,Toyota Motor Engineering & Manufacturing North America Inc.
Microsoft Corporation,University of Washington
Microsoft Corporation,Matsushita Electric Industrial Co. Ltd.
Intel Mobile Communications GmbH,Intel Corporation
Siemens Medical Solutions USA Inc.,The Regents of the University of California
UNIVERSIDADE DO PORTO,The President and Fellows of Harvard College
